"Settings","Ustawienia"
"Opinions","Opinie"
"Instruction","Instrukcja"
"Module enabled","Moduł włączony"
"Comment","Komentarz"
"Shop opinions enabled","Włączenie opinii firmowych"
"Products opinions enabled","Włącz moduł opinii produktowych"
"Send ""add opinion"" emails to customers","Włącz zbieranie zgody od klientów przez TrustMate"
"Location of shop evaluation widget","Umieszczenie widgetu opinii o firmie"
"Header","Nagłówek"
"Footer","Stopka"
"Body start","Body - początek"
"Body end","Body - koniec"
"Left Top (1)","Lewa góra (1)"
"Left Middle (2)","Lewy środek (2)"
"Left Bottom (3)","Lewy dół (3)"
"Middle Top (4)","Środkowa góra (4)"
"Middle Bottom (5)","Środkowy dół (5)"
"Right Top (6)","Prawa góra (6)"
"Right Middle (7)","Prawy środek (7)"
"Right Bottom (8)","Prawy dół (8)"
"Enter your user code from TrustMate (UUID available in the TrustMate panel in the Integration tab).","Wpisz swój kod użytkownika z TrusMate (UUID dostępny w panelu TrustMate w zakładce integracje)."
"Products Opinion","Opinie Produktów"
"TrustMate Opinion","Opinia z TrustMate"
"API Key","Klucz API"
"Widget enabled","Włącz Widget"
"Configuration","Konfiguracja"
"General settings","Ustawienia ogólne - w tym miejscu możesz uruchomić wysyłkę zaproszeń oraz włączyć widget z opiniami o firmie."
"Sign Out","Wyloguj"
"Customer View","Widok użytkownika"
"Yes","Włączony"
"No","Wyłączony",
"TrustMate Opinions","Opinie zebrane z TrustMate"
"Grade","Ocena"
"Name","Użytkownik"
"Date created","Data dodania"
"Text","Tekst opinii"
"We couldn't find any records.","Brak rekordów."
"Default Config","Domyślna konfiguracja"
"Store View:","Widok sklepu:"
"How to start? <br /><ol class='trustmate trustmate_instructions'><li><small>You must have an account at TrustMate. If you don't have an account - <a href='https://trustmate.io/panel/zarejestruj'>register</a>. </small></li><li><small>To link the TrustMate account to the Magento feedback module, paste your individual code from the TrustMate panel into the UUID field below. (Where can I find the code? TrustMate panel—> Integrations—> copy UUID)</small></li><li><small>After pasting the code and configuring the settings, save the changes. Opinions will begin to accumulate soon! Good luck.</small></li></ul>","Jak zacząć? <br /><ol class=""trustmate trustmate_instructions""><li><small>Musisz posiadać konto w TrustMate. Jeżeli nie masz konta <a href=""https://trustmate.io/panel/zarejestruj"">zarejestruj się</a>. </small></li><li><small>Aby połączyć konto TrustMate z modułem opinii w Magento wklej Twój indywidualny kod z panelu TrustMate w pole UUID znajdujące się poniżej. (Gdzie znajdę kod? Panel TrustMate —> Integracje —> skopiuj UUID)</small></li><li><small>Po wklejeniu kodu i skonfigurowaniu ustawień zapisz zmiany. Opinie wkrótce zaczną się gromadzić! Powodzenia.</small></li></ul>"
"Where can I find the code? TrustMate panel—> Integrations—> copy UUID","Gdzie znajdę kod? Panel TrustMate —> Integracje—> skopiuj UUID"
"Enter your API Key","Wprowadź klucz API"
"The widget will be displayed on all subpages in the form of a drop-down button.<div class='trustmate trustmate_widget_location' />","Widget będzie się wyświetlał na wszystkich podstronach w postaci rozwijanego przycisku.<div class='trustmate trustmate_widget_location' />"
"In the TrustMate panel create a configuration with an invitation to issue product reviews tailored to your brand","W panelu TrustMate stwórz konfigurację z zaproszeniem do wystawienia opinii produktowej dostosowaną do Twojej marki"
"If You want to collect additional product reviews, enable the product reviews module and enter your API key ( available in the TrustMate panel section integration or by contacting support@trustmate.io). In addition, in the TrustMate panel You need to create a configuration of product invitations and mark it as automatic, as well as enter the Google Products or Ceneo product feed address in the settings.","Jeśli chcesz zbierać dodatkowo opinie produktowe, włącz moduł opinii produkowych oraz podaj swój klucz API (do uzyskania w panelu TrustMate lub przez kontakt z support@trustmate.io). Dodatkowo w panelu TrustMate musisz stworzyć konfigurację zaproszeń do produktów i oznaczyć ją jako automatyczną a także podać w ustawieniach adres feeda produktowego Google Products lub Ceneo."
"If TrustMate consent collection is disabled, invitations will be sent to each client. This means that You must collect consent from customers yourself.","W przypadku wyłączenia zbierania zgód przez TrustMate zaproszenia zostaną wysłane do każdego klienta. Oznacza to, że musisz samodzielnie odebrać zgody od klientów."
