"Settings","Ustawienia"
"Reviews","Opinie"
"Instruction","Instrukcja"
"Module enabled","Moduł włączony"
"Comment","Komentarz"
"Shop reviews enabled","Włączenie opinii firmowych"
"Product reviews enabled","Włącz moduł opinii produktowych"
"Send ""add opinion"" emails to customers","Włącz zbieranie zgody od klientów przez TrustMate"
"Product reviews","Opinie produktowe"
"API Key","Klucz API"
"Widget enabled","Włącz Widget"
"Configuration","Konfiguracja"
"General settings","Ustawienia ogólne - w tym miejscu możesz uruchomić wysyłkę zaproszeń oraz włączyć widget z opiniami o firmie."
"Sign Out","Wyloguj"
"Customer View","Widok użytkownika"
"Yes","Włączony"
"No","Wyłączony",
"TrustMate reviews","Opinie zebrane z TrustMate"
"Grade","Ocena"
"Name","Użytkownik"
"Date created","Data dodania"
"Text","Tekst opinii"
"We couldn't find any records.","Brak rekordów."
"Default Config","Domyślna konfiguracja"
"Store View:","Widok sklepu:"
"How to start? <br /><ol class='trustmate trustmate_instructions'><li><small>You must have an account at TrustMate. If you don't have an account - <a href='https://trustmate.io/register'>register</a>. </small></li><li><small>To link the TrustMate account to the Magento feedback module, paste your API key from the TrustMate panel - integrations page.</small></li></ol>","Jak zacząć? <br /><ol class=""trustmate trustmate_instructions""><li><small>Musisz posiadać konto w TrustMate. Jeżeli nie masz konta <a href=""https://trustmate.io/register"">zarejestruj się</a>. </small></li><li><small>Aby połączyć konto TrustMate z modułem opinii w Magento wklej Twój klucz API z panelu TrustMate z sekcji integracje.</small></li></ol>"
"Shop and product reviews require corresponding invitation configurations marked as automatic in TrustMate panel (enabled by default)","Zbieranie opinii firmowych i produktowych wymaga odpowiednich konfiguracji zaproszeń oznaczonych jako automatyczne po stronie panelu TrustMate (domyślnie włączone)"
"Product","Produkt"
"Store ID","ID sklepu"
"Logged In","Zalogowany"
"Payment method","Metoda płatności"
"Shipping method","Metoda dostawy"
"Create invitation event","Wyślij zaproszenie"
"Select the event when the invitation should be sent","Wybierz zdarzenie, kiedy zaproszenie ma zostać wysłane"
"After place order","Po złożeniu zamówienia"
"After create shipment","Po stworzeniu wysyłki"
"Translated review","Opinia przetłumaczona"
